key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name,year,map_name
"(21417, ""King's Row"")",Chengdu Hunters,70.28865814208984,70.29826354980469,70.28865814208984,70.29826354980469,540.9949645996094,18.776031494140625,284.96697998046875,60.0,0.0,0.0,0.0,0.0,Chengdu Hunters,New York Excelsior,2019,King's Row
"(21417, 'Route 66')",Chengdu Hunters,48.97361755371094,48.96179962158203,0.0,48.96179962158203,207.90701293945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chengdu Hunters,New York Excelsior,2019,Route 66
"(21444, 'Busan')",London Spitfire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,77.0,London Spitfire,Vancouver Titans,2019,Busan
"(21444, 'Temple of Anubis')",Vancouver Titans,0.0,0.0,0.0,0.0,126.76600646972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vancouver Titans,London Spitfire,2019,Temple of Anubis
"(21444, 'Hollywood')",London Spitfire,0.0,0.0,0.0,0.0,181.66700744628903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,London Spitfire,Vancouver Titans,2019,Hollywood
"(21444, 'Route 66')",Vancouver Titans,143.49319458007812,106.30848693847656,68.93284606933594,149.07296752929688,60.0,46.10401153564453,0.0,212.20802307128903,0.0,0.0,0.0,0.0,Vancouver Titans,London Spitfire,2019,Route 66
"(21444, 'Ilios')",Vancouver Titans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,223.0,London Spitfire,Vancouver Titans,2019,Ilios
"(21360, 'Ilios')",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,299.0,Paris Eternal,Philadelphia Fusion,2019,Ilios
"(21360, 'Temple of Anubis')",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris Eternal,Philadelphia Fusion,2019,Temple of Anubis
"(21360, 'Hollywood')",Paris Eternal,109.5401840209961,109.53032684326172,0.0,109.53032684326172,7.758026123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris Eternal,Philadelphia Fusion,2019,Hollywood
"(21360, 'Route 66')",Paris Eternal,71.55172729492188,74.58238220214844,0.0,74.58238220214844,0.0,76.66900634765625,0.0,76.66900634765625,0.0,0.0,0.0,0.0,Philadelphia Fusion,Paris Eternal,2019,Route 66
"(21360, 'Lijiang Tower')",Paris Eternal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,170.0,Paris Eternal,Philadelphia Fusion,2019,Lijiang Tower
"(21473, 'Ilios')",Toronto Defiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,61.0,Toronto Defiant,Florida Mayhem,2019,Ilios
"(21473, 'Hanamura')",Florida Mayhem,0.0,0.0,0.0,0.0,237.8130187988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida Mayhem,Toronto Defiant,2019,Hanamura
"(21473, ""King's Row"")",Florida Mayhem,107.66399383544922,70.29067230224611,0.0,70.29067230224611,0.0,75.83305358886719,0.0,75.83305358886719,0.0,0.0,0.0,0.0,Toronto Defiant,Florida Mayhem,2019,King's Row
"(21473, 'Havana')",Florida Mayhem,90.34034729003906,103.33624267578124,0.0,103.33624267578124,0.0,170.11602783203125,0.0,170.11602783203125,0.0,0.0,0.0,0.0,Toronto Defiant,Florida Mayhem,2019,Havana
"(21436, 'Ilios')",Seoul Dynasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,267.0,Guangzhou Charge,Seoul Dynasty,2019,Ilios
"(21436, 'Hanamura')",Seoul Dynasty,0.0,0.0,0.0,0.0,0.0,186.55601501464844,0.0,186.55601501464844,0.0,0.0,0.0,0.0,Guangzhou Charge,Seoul Dynasty,2019,Hanamura
"(21436, ""King's Row"")",Guangzhou Charge,113.9672737121582,70.29142761230469,43.66348648071289,140.58285522460938,60.0,23.220001220703125,0.0,126.64599609375,0.0,0.0,0.0,0.0,Guangzhou Charge,Seoul Dynasty,2019,King's Row
"(21436, 'Route 66')",Guangzhou Charge,73.43461608886719,74.55596923828125,0.0,74.55596923828125,0.0,84.82803344726562,0.0,84.82803344726562,0.0,0.0,0.0,0.0,Seoul Dynasty,Guangzhou Charge,2019,Route 66
"(21436, 'Lijiang Tower')",Guangzhou Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,258.0,Guangzhou Charge,Seoul Dynasty,2019,Lijiang Tower
"(21409, 'Lijiang Tower')",Washington Justice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,299.0,Boston Uprising,Washington Justice,2019,Lijiang Tower
"(21409, 'Temple of Anubis')",Washington Justice,0.0,0.0,0.0,0.0,277.25900268554693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Justice,Boston Uprising,2019,Temple of Anubis
"(21409, 'Blizzard World')",Boston Uprising,104.84225463867188,109.25824737548828,0.0,109.25824737548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Justice,Boston Uprising,2019,Blizzard World
"(21409, 'Route 66')",Washington Justice,84.20429229736328,84.19808959960938,0.0,84.19808959960938,159.4010009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Justice,Boston Uprising,2019,Route 66
"(21418, 'Lijiang Tower')",Dallas Fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,231.0,Dallas Fuel,Los Angeles Gladiators,2019,Lijiang Tower
"(21418, 'Temple of Anubis')",Dallas Fuel,0.0,0.0,0.0,0.0,0.0,217.85299682617188,0.0,217.85299682617188,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Dallas Fuel,2019,Temple of Anubis
"(21418, ""King's Row"")",Los Angeles Gladiators,32.171279907226555,32.16552734375,0.0,32.16552734375,291.239990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Dallas Fuel,2019,King's Row
"(21418, 'Junkertown')",Los Angeles Gladiators,80.45694732666016,93.7902374267578,0.0,93.7902374267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Gladiators,2019,Junkertown
