key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name
"(32813, 5)",Los Angeles Gladiators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,200.0,San Francisco Shock,Los Angeles Gladiators
"(31000, 1)",Chengdu Hunters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,196.0,Chengdu Hunters,Shanghai Dragons
"(31000, 2)",Chengdu Hunters,79.06486511230469,84.640380859375,0.0,84.640380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai Dragons,Chengdu Hunters
"(31000, 3)",Chengdu Hunters,0.0,108.88921356201172,0.0,108.88921356201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai Dragons,Chengdu Hunters
"(31058, 1)",Guangzhou Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,200.0,Hangzhou Spark,Guangzhou Charge
"(31058, 2)",Hangzhou Spark,66.04219055175781,66.03418731689453,0.0,66.03418731689453,158.49700927734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hangzhou Spark,Guangzhou Charge
"(31058, 3)",Guangzhou Charge,0.0,0.0,0.0,0.0,176.76499938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guangzhou Charge,Hangzhou Spark
"(31058, 4)",Hangzhou Spark,0.0,0.0,0.0,0.0,340.5710144042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hangzhou Spark,Guangzhou Charge
"(31058, 5)",Guangzhou Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,288.0,Hangzhou Spark,Guangzhou Charge
"(31060, 1)",Atlanta Reign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,299.0,Florida Mayhem,Atlanta Reign
"(31060, 2)",Atlanta Reign,141.88976287841797,141.928955078125,67.33438873291016,149.18215942382812,60.0,75.49701690673828,0.0,196.61801147460938,0.0,0.0,0.0,0.0,Florida Mayhem,Atlanta Reign
"(31060, 3)",Atlanta Reign,40.8092041015625,67.72898864746094,0.0,67.72898864746094,0.0,83.99803161621094,0.0,83.99803161621094,0.0,0.0,0.0,0.0,Florida Mayhem,Atlanta Reign
"(32857, 1)",Seoul Dynasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,150.0,Seoul Dynasty,Los Angeles Gladiators
"(32857, 2)",Seoul Dynasty,78.86585998535156,88.20396423339844,0.0,88.20396423339844,0.0,75.09403991699219,0.0,75.09403991699219,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Seoul Dynasty
"(32857, 3)",draw,67.73252868652344,67.73463439941406,67.73252868652344,67.73463439941406,109.96499633789062,0.0,109.96499633789062,60.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Seoul Dynasty
"(32857, 4)",Seoul Dynasty,0.0,0.0,0.0,0.0,140.13101196289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seoul Dynasty,Los Angeles Gladiators
"(32814, 1)",Los Angeles Valiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,249.0,Los Angeles Valiant,San Francisco Shock
"(32814, 2)",San Francisco Shock,140.87459564208984,140.9152717590332,55.111412048339844,171.60336303710938,101.156005859375,165.06603240966797,0.0,248.67803955078125,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock
"(32814, 3)",Los Angeles Valiant,104.92305755615234,104.91041564941406,71.80715942382812,104.91041564941406,200.55003356933597,170.7419891357422,200.55003356933597,120.0,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock
"(32814, 4)",Los Angeles Valiant,0.0,0.0,0.0,0.0,60.0,305.6769561767578,0.0,424.1759338378906,0.0,0.0,0.0,0.0,San Francisco Shock,Los Angeles Valiant
"(31054, 1)",Toronto Defiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,51.0,Toronto Defiant,Washington Justice
"(31054, 2)",Washington Justice,0.0,0.0,0.0,0.0,125.1340103149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Justice,Toronto Defiant
"(31054, 3)",Toronto Defiant,81.5401611328125,77.13603210449219,0.0,77.13603210449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Justice,Toronto Defiant
"(31054, 4)",Toronto Defiant,86.58368682861328,67.71868896484375,0.0,67.71868896484375,0.0,75.86402130126953,0.0,75.86402130126953,0.0,0.0,0.0,0.0,Washington Justice,Toronto Defiant
"(31071, 1)",Los Angeles Gladiators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,198.0,Los Angeles Gladiators,Dallas Fuel
"(31071, 2)",Los Angeles Gladiators,0.0,0.0,0.0,0.0,120.0,301.36804962158203,0.0,346.59405517578125,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Gladiators
"(31071, 3)",Los Angeles Gladiators,75.18273162841797,80.00794982910156,0.0,80.00794982910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Gladiators
"(32804, 1)",San Francisco Shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,200.0,Los Angeles Valiant,San Francisco Shock
"(32804, 2)",Los Angeles Valiant,0.0,0.0,0.0,0.0,0.0,284.1529846191406,0.0,284.1529846191406,0.0,0.0,0.0,0.0,San Francisco Shock,Los Angeles Valiant
"(32804, 3)",San Francisco Shock,74.71759796142578,85.79855346679688,0.0,85.79855346679688,0.0,60.2330322265625,0.0,60.2330322265625,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock
"(32804, 4)",San Francisco Shock,190.42644500732422,102.65591430664062,122.72791290283205,135.40478515625,60.0,90.93505096435548,0.0,268.090087890625,0.0,0.0,0.0,0.0,San Francisco Shock,Los Angeles Valiant
"(32864, 1)",Shanghai Dragons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,262.0,Shanghai Dragons,Hangzhou Spark
"(32864, 2)",Shanghai Dragons,0.0,0.0,0.0,0.0,0.0,248.18701171875,0.0,248.18701171875,0.0,0.0,0.0,0.0,Hangzhou Spark,Shanghai Dragons
"(32864, 3)",Shanghai Dragons,92.03597259521484,85.78929138183594,0.0,85.78929138183594,0.0,123.26799774169922,0.0,123.26799774169922,0.0,0.0,0.0,0.0,Hangzhou Spark,Shanghai Dragons
"(32863, 1)",Guangzhou Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,200.0,Chengdu Hunters,Guangzhou Charge
"(32863, 2)",Chengdu Hunters,0.0,0.0,0.0,0.0,76.64601135253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chengdu Hunters,Guangzhou Charge
"(32863, 3)",Chengdu Hunters,93.65311431884766,88.20854187011719,0.0,88.20854187011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guangzhou Charge,Chengdu Hunters
"(32863, 4)",Guangzhou Charge,75.05607604980469,75.05104064941406,0.0,75.05104064941406,205.7300109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guangzhou Charge,Chengdu Hunters
